Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Gary Alexander,"Nov 5, '93, MIA vs. ORL",24,1,11,55,8,14,0,0,3,9,7,15,2,3,0,8,10,19,0.571,,0.333,5.0,1.7,1.4,0.2,1994,alexaga01
Vin Baker,"Nov 5, '93, MIL @ CLE",22,1,82,2560,435,869,1,5,234,411,277,621,163,60,114,162,231,1105,0.501,0.2,0.569,31.2,13.5,7.6,2.0,1994,bakervi01
Corie Blount,"Nov 5, '93, CHI @ CHH",25,1,67,690,76,174,0,0,46,75,76,194,56,19,33,52,93,198,0.437,,0.613,10.3,3.0,2.9,0.8,1994,blounco01
Shawn Bradley,"Nov 5, '93, PHI vs. WSB",21,1,49,1385,201,491,0,3,102,168,98,306,98,45,147,148,170,504,0.409,0.0,0.607,28.3,10.3,6.2,2.0,1994,bradlsh01
P.J. Brown,"Nov 5, '93, NJN @ HOU",24,1,79,1950,167,402,1,6,115,152,188,493,93,71,93,72,177,450,0.415,0.167,0.757,24.7,5.7,6.2,1.2,1994,brownpj01
Evers Burns,"Nov 24, '93, SAC vs. SEA",22,1,23,143,22,55,0,0,12,23,13,30,9,6,3,7,33,56,0.4,,0.522,6.2,2.4,1.3,0.4,1994,burnsev01
Scott Burrell,"Nov 23, '93, CHH @ WSB",23,1,51,767,98,234,2,6,46,70,46,132,62,37,16,45,88,244,0.419,0.333,0.657,15.0,4.8,2.6,1.2,1994,burresc01
Mitchell Butler,"Nov 5, '93, WSB @ PHI",23,1,75,1321,207,418,0,5,104,180,106,225,77,54,20,87,131,518,0.495,0.0,0.578,17.6,6.9,3.0,1.0,1994,butlemi02
Sam Cassell,"Nov 5, '93, HOU vs. NJN",24,1,66,1122,162,388,26,88,90,107,25,134,192,59,7,94,136,440,0.418,0.295,0.841,17.0,6.7,2.0,2.9,1994,cassesa01
Calbert Cheaney,"Nov 5, '93, WSB @ PHI",22,1,65,1604,327,696,1,23,124,161,88,190,126,63,10,108,148,779,0.47,0.043,0.77,24.7,12.0,2.9,1.9,1994,cheanca01
Michael Curry,"Nov 5, '93, PHI vs. WSB",25,1,10,43,3,14,0,2,3,4,0,1,1,1,0,3,6,9,0.214,0.0,0.75,4.3,0.9,0.1,0.1,1994,currymi01
Antonio Davis,"Nov 5, '93, IND @ ATL",25,1,81,1732,216,425,0,1,194,302,190,505,55,45,84,107,189,626,0.508,0.0,0.642,21.4,7.7,6.2,0.7,1994,davisan01
Brian Davis,"Nov 5, '93, MIN @ DET",23,1,68,374,40,126,1,3,50,68,21,55,22,16,4,19,34,131,0.317,0.333,0.735,5.5,1.9,0.8,0.3,1994,davisbr02
Terry Dehere,"Nov 5, '93, LAC vs. POR",22,1,64,759,129,342,23,57,61,81,25,68,78,28,3,61,69,342,0.377,0.404,0.753,11.9,5.3,1.1,1.2,1994,deherte01
Dell Demps,"Nov 23, '93, GSW @ ORL",23,1,2,11,2,6,0,0,0,2,0,0,1,2,0,1,1,4,0.333,,0.0,5.5,2.0,0.0,0.5,1994,dempsde01
Acie Earl,"Nov 5, '93, BOS vs. NYK",23,1,74,1149,151,372,0,1,108,160,85,247,12,24,53,72,178,410,0.406,0.0,0.675,15.5,5.5,3.3,0.2,1994,earlac01
Bill Edwards,"Feb 26, '94, PHI vs. ATL",22,1,3,44,2,18,0,5,2,5,5,14,4,3,1,4,6,6,0.111,0.0,0.4,14.7,2.0,4.7,1.3,1994,edwarbi01
Doug Edwards,"Dec 28, '93, ATL vs. DET",23,1,16,107,17,49,0,1,9,16,7,18,8,2,5,6,9,43,0.347,0.0,0.563,6.7,2.7,1.1,0.5,1994,edwardo01
Harold Ellis,"Jan 8, '94, LAC vs. MIA",23,1,49,923,159,292,0,4,106,149,94,153,31,73,2,43,97,424,0.545,0.0,0.711,18.8,8.7,3.1,0.6,1994,ellisha01
Alphonso Ford,"Mar 22, '94, SEA vs. SAS",22,1,6,16,7,13,1,1,1,2,0,0,1,2,0,1,2,16,0.538,1.0,0.5,2.7,2.7,0.0,0.2,1994,fordal01
Chad Gallagher,"Feb 5, '94, UTA vs. POR",24,1,2,3,3,3,0,0,0,0,0,0,0,0,0,0,2,6,1.0,,,1.5,3.0,0.0,0.0,1994,gallach01
Andrew Gaze,"Mar 11, '94, WSB vs. DEN",28,1,7,70,8,17,4,8,2,2,1,7,5,2,1,3,9,22,0.471,0.5,1.0,10.0,3.1,1.0,0.7,1994,gazean01
Ricky Grace,"Nov 8, '93, ATL @ CHI",26,1,3,8,2,3,0,0,0,2,0,1,1,0,0,0,3,4,0.667,,0.0,2.7,1.3,0.3,0.3,1994,graceri01
Greg Graham,"Nov 6, '93, PHI @ ORL",23,1,70,889,122,305,2,25,92,110,21,86,66,61,4,65,54,338,0.4,0.08,0.836,12.7,4.8,1.2,0.9,1994,grahagr01
Josh Grant,"Nov 5, '93, GSW @ SAS",26,1,53,382,59,146,17,61,22,29,27,89,24,18,8,30,62,157,0.404,0.279,0.759,7.2,3.0,1.7,0.5,1994,grantjo01
Andrés Guibert,"Apr 15, '94, MIN vs. IND",25,1,5,33,6,20,0,0,3,6,10,16,2,0,1,6,6,15,0.3,,0.5,6.6,3.0,3.2,0.4,1994,guibean01
Geert Hammink,"Apr 24, '94, ORL vs. NJN",24,1,1,3,1,3,0,0,0,0,1,1,1,0,0,0,1,2,0.333,,,3.0,2.0,1.0,1.0,1994,hammige01
Anfernee Hardaway,"Nov 5, '93, ORL @ MIA",22,1,82,3015,509,1092,50,187,245,330,192,439,544,190,51,292,205,1313,0.466,0.267,0.742,36.8,16.0,5.4,6.6,1994,hardaan01
Lucious Harris,"Nov 5, '93, DAL @ UTA",23,1,77,1165,162,385,7,33,87,119,45,157,106,49,10,78,117,418,0.421,0.212,0.731,15.1,5.4,2.0,1.4,1994,harrilu01
Antonio Harvey,"Nov 5, '93, LAL vs. PHO",23,1,27,247,29,79,0,0,12,26,26,59,5,8,19,17,39,70,0.367,,0.462,9.1,2.6,2.2,0.2,1994,harvean01
Scott Haskin,"Nov 6, '93, IND vs. DET",23,1,27,186,21,45,0,0,13,19,17,55,6,2,15,13,33,55,0.467,,0.684,6.9,2.0,2.0,0.2,1994,haskisc01
Skeeter Henry,"Apr 18, '94, PHO @ DAL",26,1,4,15,1,5,0,2,2,4,0,2,4,0,0,1,1,4,0.2,0.0,0.5,3.8,1.0,0.5,1.0,1994,henrysk01
Allan Houston,"Nov 5, '93, DET vs. MIN",22,1,79,1519,272,671,35,117,89,108,19,120,100,34,13,99,165,668,0.405,0.299,0.824,19.2,8.5,1.5,1.3,1994,houstal01
Lindsey Hunter,"Nov 5, '93, DET vs. MIN",23,1,82,2172,335,893,69,207,104,142,47,189,390,121,10,184,174,843,0.375,0.333,0.732,26.5,10.3,2.3,4.8,1994,hunteli01
Bobby Hurley,"Nov 5, '93, SAC vs. DEN",22,1,19,499,54,146,2,16,24,30,6,34,115,13,1,48,28,134,0.37,0.125,0.8,26.3,7.1,1.8,6.1,1994,hurlebo01
Stanley Jackson,"Dec 4, '93, MIN @ SEA",23,1,17,92,17,33,1,5,3,3,12,27,16,5,0,10,13,38,0.515,0.2,1.0,5.4,2.2,1.6,0.9,1994,jacksst01
Chris Jent,"Apr 21, '94, HOU vs. DAL",24,1,3,78,13,26,4,11,1,2,4,15,7,0,0,5,13,31,0.5,0.364,0.5,26.0,10.3,5.0,2.3,1994,jentch01
Ervin Johnson,"Nov 6, '93, SEA vs. LAL",26,1,45,280,44,106,0,0,29,46,48,118,7,10,22,24,45,117,0.415,,0.63,6.2,2.6,2.6,0.2,1994,johnser02
Popeye Jones,"Nov 5, '93, DAL @ UTA",23,1,81,1773,195,407,0,1,78,107,299,605,99,61,31,94,246,468,0.479,0.0,0.729,21.9,5.8,7.5,1.2,1994,jonespo01
Adonis Jordan,"Nov 20, '93, DEN @ MIN",23,1,6,79,6,23,3,10,0,0,3,6,19,0,1,6,6,15,0.261,0.3,,13.2,2.5,1.0,3.2,1994,jordaad01
Reggie Jordan,"Jan 26, '94, LAL vs. IND",26,1,23,259,44,103,2,4,35,51,46,67,26,14,5,14,26,125,0.427,0.5,0.686,11.3,5.4,2.9,1.1,1994,jordare01
Warren Kidd,"Nov 5, '93, PHI vs. WSB",23,1,68,884,100,169,0,0,47,86,76,233,19,19,23,44,129,247,0.592,,0.547,13.0,3.6,3.4,0.3,1994,kiddwa01
